t_int,ddim_steps,threshold_percentile,use_latent_fusion,threshold,auroc_mean,auroc_std,auprc_mean,dice_mean,dice_std,n_test
250,50,90.0,False,0.103451,0.722232,0.155636,0.054540,0.100122,0.108177,200
250,50,93.0,False,0.133023,0.722232,0.155636,0.054540,0.090137,0.098882,200
250,50,95.0,False,0.162516,0.722232,0.155636,0.054540,0.076649,0.084821,200
250,50,97.0,False,0.203388,0.722232,0.155636,0.054540,0.054736,0.063773,200
250,50,90.0,True,2.602932,0.764290,0.129427,0.059196,0.104764,0.113034,200
250,50,93.0,True,3.208134,0.764290,0.129427,0.059196,0.094514,0.103828,200
250,50,95.0,True,3.806270,0.764290,0.129427,0.059196,0.081380,0.089874,200
250,50,97.0,True,4.624877,0.764290,0.129427,0.059196,0.060311,0.068546,200
300,50,90.0,False,0.105331,0.713477,0.168643,0.054842,0.101790,0.108938,200
300,50,93.0,False,0.136212,0.713477,0.168643,0.054842,0.091381,0.099104,200
300,50,95.0,False,0.166285,0.713477,0.168643,0.054842,0.075856,0.083011,200
300,50,97.0,False,0.207465,0.713477,0.168643,0.054842,0.052671,0.060821,200
300,50,90.0,True,2.607255,0.755744,0.138618,0.059076,0.105873,0.113933,200
300,50,93.0,True,3.227238,0.755744,0.138618,0.059076,0.095518,0.104190,200
300,50,95.0,True,3.823271,0.755744,0.138618,0.059076,0.080884,0.089010,200
300,50,97.0,True,4.634136,0.755744,0.138618,0.059076,0.057856,0.065803,200
350,50,90.0,False,0.107438,0.717345,0.164097,0.054428,0.098923,0.108507,200
350,50,93.0,False,0.138348,0.717345,0.164097,0.054428,0.090220,0.100766,200
350,50,95.0,False,0.169162,0.717345,0.164097,0.054428,0.075973,0.086147,200
350,50,97.0,False,0.211570,0.717345,0.164097,0.054428,0.055038,0.067094,200
350,50,90.0,True,2.616940,0.758414,0.136132,0.058800,0.102689,0.113128,200
350,50,93.0,True,3.222875,0.758414,0.136132,0.058800,0.094190,0.105580,200
350,50,95.0,True,3.818027,0.758414,0.136132,0.058800,0.080933,0.091785,200
350,50,97.0,True,4.632409,0.758414,0.136132,0.058800,0.060106,0.071941,200
